AfterSales Dev;Iron;4,80;9710;42,30;13,10;67;1046;0;13;73;27235
CDSCore.Investigation Dev;Iron;0,00;270;21,00;14,00;27;87;0;0;0;1442
CDSCore.MailParcelFollowup Dev;Iron;0,00;76;15,40;0,00;0;38;0;0;0;373
CustomerCase Dev;Iron;10,90;1690;42,10;16,10;4;275;0;5;41;5150
Order Dev;Iron;10,00;23908;38,80;9,80;329;4002;0;25;45;74387
UserManagement Dev;Iron;7,90;784;41,40;4,90;12;125;0;0;31;2876
AccountUsurpation Dev;Platinium;71,40;328;42,50;7,40;1;10;0;12;12;1211
IllicitContentNotification Dev;Platinium;0,00;18;39,00;0,00;1;13;0;4;4;128
CDSCore.NavPartners Dev;Iron;0,00;148;33,80;0,00;3;49;0;0;0;684
CDSCore.SalesOrder Dev;Iron;0,00;102;42,60;0,00;1;43;0;0;0;627
CDSCore.Sav Dev;Iron;0,00;388;46,30;0,00;5;203;0;0;0;1855
CrmEventManager Dev;Iron;27,60;2817;40,10;12,60;48;389;0;53;112;8527
FaqManagement Dev;Iron;75,70;160;41,50;8,20;0;24;0;11;12;739
ConnectedDevice Dev;Iron;0,00;33;37,80;0,00;0;9;0;0;1;186
Versioning Dev;Iron;0,00;152;38,70;0,00;0;27;0;2;9;768
CupCard Dev;Iron;10,40;916;40,50;4,60;2;274;0;4;4;3422
GiftVoucher Dev;Iron;2,00;5136;39,40;7,70;51;902;0;11;14;18050
LoyaltyCard Dev;Iron;3,10;1097;41,60;6,80;16;174;0;1;1;4135
Monitoring Dev;Iron;34,70;805;35,00;0,40;0;192;0;13;13;3736
OrderProcess Dev;Iron;8,90;8667;33,80;6,80;113;2545;0;67;67;34778
PaymentChoiceR2 Dev;Iron;16,50;10084;41,10;4,50;45;1715;0;343;346;33253
Poi Dev;Iron;24,30;595;37,80;0,00;1;190;0;3;3;2460
ShoppingFolder Dev;Iron;9,30;6085;39,00;3,60;48;949;0;22;22;20653
PaymentEligibility Dev;Iron;0,00;3869;35,00;0,70;17;347;0;0;0;13810
CDSCore.Customer Dev;Iron;0,00;32;23,10;0,00;0;12;0;0;0;203
